"id_anc";"croissance"
"AT11";10323
"AT12";67829
"AT13";164769
"AT21";-1285
"AT22";24790
"AT31";42525
"AT32";16206
"AT33";39872
"AT34";18538
"BE10";177352
"BE21";140175
"BE22";51438
"BE23";98977
"BE24";76804
"BE25";42454
"BE31";30568
"BE32";51505
"BE33";64879
"BE34";24257
"BE35";33013
"BG31";-157253
"BG32";-112537
"BG33";-46576
"BG34";-69587
"BG41";3107
"BG42";-103529
"CH01";207840
"CH02";136116
"CH03";99978
"CH04";184544
"CH05";84986
"CH06";78668
"CH07";30432
"CY00";113941
"CZ01";97745
"CZ02";171374
"CZ03";38966
"CZ04";1123
"CZ05";28435
"CZ06";40728
"CZ07";-7347
"CZ08";-31604
"DE11";5116
"DE12";-6467
"DE13";6595
"DE14";-6019
"DE21";308861
"DE22";1380
"DE23";-7528
"DE24";-50586
"DE25";6223
"DE26";-45780
"DE27";35105
"DE30";82021
"DE40";-109832
"DE50";-1325
"DE60";27961
"DE71";88793
"DE72";-35208
"DE73";-57462
"DE80";-120515
"DE91";-79164
"DE92";-58213
"DE93";-25256
"DE94";-11537
"DEA1";-129565
"DEA2";-2073
"DEA3";-43825
"DEA4";-42840
"DEA5";-218951
"DEB1";-50305
"DEB2";8002
"DEB3";-7220
"DEC0";-67382
"DED2";-74911
"DEE0";-258889
"DEF0";2104
"DEG0";-198521
"EE00";-43980
"EL30";-129950
"EL41";-1482
"EL42";13067
"EL43";31023
"EL51";9232
"EL52";13361
"EL53";-11208
"EL54";-3312
"EL61";-7936
"EL62";371
"EL63";-24712
"EL64";2471
"EL65";-2819
"ES11";13967
"ES12";-12878
"ES13";30671
"ES21";49840
"ES22";52037
"ES23";15524
"ES24";71326
"ES30";519079
"ES41";-4718
"ES42";188750
"ES43";21527
"ES51";526180
"ES52";372511
"ES53";184851
"ES61";668922
"ES62";150277
"ES63";12715
"ES64";19660
"ES70";272986
"FI19";46910
"FI1B";163988
"FI1C";20305
"FI1D";1553
"FI20";2386
"FR10";640001
"FR21";-1145
"FR22";43062
"FR23";52970
"FR24";71346
"FR25";27059
"FR26";15015
"FR30";62273
"FR41";9063
"FR42";75863
"FR43";33991
"FR51";303121
"FR52";227265
"FR53";91566
"FR61";282382
"FR62";258429
"FR63";10544
"FR71";551595
"FR72";30588
"FR81";274965
"FR82";239413
"FR83";38191
"FRA2";-15105
"FRA3";60659
"FRA4";77820
"HR03";9292
"HR04";-94837
"HU10";142761
"HU21";-47489
"HU22";-16423
"HU23";-68335
"HU31";-106298
"HU32";-62296
"HU33";-83898
"IE01";151261
"IE02";414694
"IS00";35523
"ITC1";152349
"ITC2";5371
"ITC3";8072
"ITC4";725995
"ITF1";51530
"ITF2";-6135
"ITF3";118521
"ITF4";56980
"ITF5";-16031
"ITF6";-12870
"ITG1";123457
"ITG2";30596
"ITH1";43950
"ITH2";43509
"ITH3";258191
"ITH4";27904
"ITH5";333053
"ITI1";195077
"ITI2";46692
"ITI3";59582
"ITI4";675066
"LI00";2766
"LT00";-433958
"LU00";101728
"LV00";-263628
"ME00";8679
"MK00";33668
"MT00";37023
"NL11";8870
"NL12";3280
"NL13";5207
"NL21";31220
"NL22";54568
"NL23";35932
"NL31";92281
"NL32";162826
"NL33";141630
"NL34";748
"NL41";77392
"NL42";-18754
"NO01";208790
"NO02";12435
"NO03";87624
"NO04";104055
"NO05";84252
"NO06";44827
"NO07";18147
"PL11";-97858
"PL12";163781
"PL21";64378
"PL22";-165066
"PL31";-58846
"PL32";-13711
"PL33";-40742
"PL34";-40056
"PL41";82406
"PL42";-6379
"PL43";-1726
"PL51";-24717
"PL52";-94618
"PL61";-2412
"PL62";-10173
"PL63";77518
"PT11";-95085
"PT15";22938
"PT16";-88899
"PT17";76728
"PT18";-39764
"PT20";1862
"PT30";2370
"RO11";-157133
"RO12";-183274
"RO21";-465914
"RO22";-357607
"RO31";-276909
"RO32";74432
"RO41";-298137
"RO42";-123339
"SE11";325144
"SE12";107017
"SE21";26504
"SE22";131811
"SE23";136994
"SE31";7397
"SE32";-1793
"SE33";2889
"SK01";32408
"SK02";-20526
"SK03";-6505
"SK04";43287
"UKC1";39385
"UKC2";42591
"UKD1";2816
"UKD3";188904
"UKD4";38406
"UKD6";39019
"UKD7";31821
"UKE1";30504
"UKE2";40357
"UKE3";81923
"UKE4";148886
"UKF1";128407
"UKF2";155748
"UKF3";58692
"UKG1";70784
"UKG2";81953
"UKG3";216251
"UKH1";201088
"UKH2";178785
"UKH3";129499
"UKI3";71599
"UKI4";405082
"UKI5";251605
"UKI6";121730
"UKI7";279137
"UKJ1";212454
"UKJ2";228295
"UKJ3";132943
"UKJ4";170467
"UKK1";197999
"UKK2";86579
"UKK3";35663
"UKK4";60742
"UKL1";70255
"UKL2";76763
"UKM2";133745
"UKM3";56882
"UKM5";46153
"UKM6";22953
"UKN0";126250
